PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000164924.12_chr8.wgt.RDat	YWHAZ	8	100916524	100953388	0.1200	rs746769	-2.20	rs2923782	 0.060231	-4.78	-0.2792	 81	 4	lasso	0.062	2e-06	 0.17770	0.8590
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000155090.10_chr8.wgt.RDat	KLF10	8	102648778	102655902	0.1120	rs28999710	-3.04	rs2511718	 0.002107	-3.79	-1.2108	 88	22	enet	0.035	0.00028	-0.59596	0.5512
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000176209.6_chr8.wgt.RDat	SMIM19	8	42546427	42554460	0.1691	rs3736649	 2.47	rs7004796	 0.096974	-5.88	-0.5973	 23	18	enet	0.1	7.1e-10	 0.96207	0.3360
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000104728.11_chr8.wgt.RDat	ARHGEF10	8	1823975	1958641	0.1579	rs10107849	-2.64	rs17828023	-0.002936	 3.75	-0.0805	105	 6	lasso	0.049	2e-05	 0.73493	0.4624
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000129422.9_chr8.wgt.RDat	MTUS1	8	17646981	17800917	0.1149	rs34652440	 2.67	rs7016806	-0.001615	 3.78	 1.0136	 87	 1	top1	-0.0016	0.5	 1.01361	0.3108
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000137547.4_chr8.wgt.RDat	MRPL15	8	54135209	54147901	0.0589	rs7845915	 2.13	rs7009781	 0.001718	-3.72	-0.6438	 45	 3	lasso	0.0026	0.17	 0.10905	0.9132
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000164823.5_chr8.wgt.RDat	OSGIN2	8	89901858	89927888	0.1048	rs2091921	 2.16	rs2697674	-0.002586	 3.18	 0.2645	 31	14	enet	0.024	0.0024	-0.83850	0.4017
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000164695.4_chr8.wgt.RDat	CHMP4C	8	81753063	81759515	0.1920	rs1376842	-2.20	rs1844358	 0.051273	 4.90	-0.3031	 44	 3	lasso	0.13	2.7e-12	-1.24298	0.2139
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000079112.5_chr8.wgt.RDat	CDH17	8	94127170	94217303	0.0692	rs4391396	 3.01	rs2613228	 0.050905	 4.88	-0.4424	 47	 1	top1	0.051	1.5e-05	-0.44236	0.6582
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000164951.11_chr8.wgt.RDat	PDP1	8	93857806	93926066	0.0605	rs4391396	 3.01	rs2445729	 0.012720	 3.59	 1.4120	 46	 7	enet	0.026	0.0017	 1.74480	0.0810
