PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000149922.6_chr16.wgt.RDat	TBX6	16	30085792	30091887	0.2347	rs9922666	-2.55	rs11865086	 0.060409	-5.00	 1.3078	 39	17	enet	0.15	2.9e-14	-1.3251	0.1851
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000162078.7_chr16.wgt.RDat	ZG16B	16	2830168	2838966	0.0784	NA	   NA	NA	       NA	   NA	     NA	 55	 0	top1	-0.00088	0.4	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000260630.1_chr16.wgt.RDat	SNAI3-AS1	16	88663297	88687186	0.1665	rs12925118	 2.34	rs4420519	 0.093068	 5.76	 1.1690	 81	 8	enet	0.18	1.2e-16	 1.3214	0.1864
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000189067.8_chr16.wgt.RDat	LITAF	16	11547996	11636381	0.0829	rs1541702	 2.29	rs1345442	 0.062269	-5.14	 1.3484	 64	 1	top1	0.062	1.8e-06	-1.3484	0.1775
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000131797.8_chr16.wgt.RDat	CLUHP3	16	31700589	31707437	0.0768	rs4506917	 1.90	rs7186753	 0.103929	 6.06	 0.4159	 20	 1	top1	0.1	6.2e-10	 0.4159	0.6775
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000103550.9_chr16.wgt.RDat	KNOP1	16	19710508	19715037	0.2183	NA	   NA	NA	       NA	   NA	     NA	 54	 0	lasso	0.15	5.1e-14	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000172366.14_chr16.wgt.RDat	FAM195A	16	641812	648474	0.1013	rs3809673	-2.89	rs548411	-0.002869	-2.97	-0.3015	 69	24	enet	0.004	0.12	 0.6915	0.4892
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000063854.7_chr16.wgt.RDat	HAGH	16	1795619	1823037	0.0760	NA	   NA	NA	       NA	   NA	     NA	 45	 0	top1	0.062	1.8e-06	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000166451.9_chr16.wgt.RDat	CENPN	16	81011929	81033114	0.1193	rs918776	 1.97	rs9889186	 0.009476	 3.88	-0.5877	 82	 1	top1	0.0095	0.04	-0.5877	0.5568
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000175643.7_chr16.wgt.RDat	RMI2	16	11249648	11351762	0.4348	rs4781015	 2.48	rs1541702	 0.265398	-9.53	 2.2909	 70	12	enet	0.41	1.1e-40	-2.4193	0.0155
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000157335.14_chr16.wgt.RDat	CLEC18C	16	70173321	70186895	0.0912	rs6499333	-1.71	rs7192865	 0.013599	-3.65	-0.1036	 17	 9	enet	0.039	0.00014	 1.0445	0.2963
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000184517.7_chr16.wgt.RDat	ZFP1	16	75148491	75172236	0.0967	rs7205215	-2.12	rs10514391	-0.002728	 2.98	 0.7921	 44	26	enet	0.0015	0.22	 0.5585	0.5765
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000183454.9_chr16.wgt.RDat	GRIN2A	16	9758518	10182754	0.1408	rs11074679	 2.26	rs13332694	 0.011458	 4.22	 2.1489	 81	 1	top1	0.011	0.027	 2.1489	0.0316
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000162076.8_chr16.wgt.RDat	FLYWCH2	16	2883185	2899382	0.0828	rs11646593	 2.82	rs757164	 0.003996	 3.88	-0.4966	 55	15	enet	0.014	0.015	-1.1788	0.2385
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000132600.11_chr16.wgt.RDat	PRMT7	16	68310973	68356797	0.1758	rs8049967	-1.53	rs11075672	 0.019734	-4.25	 0.8625	 26	 9	enet	0.023	0.0031	-0.0439	0.9650
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000103227.12_chr16.wgt.RDat	LMF1	16	853633	970999	0.1068	NA	   NA	NA	       NA	   NA	     NA	 75	 0	top1	0.00038	0.29	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000158717.6_chr16.wgt.RDat	RNF166	16	88696494	88706421	0.0918	rs12925118	 2.34	rs1803382	 0.059992	-5.04	-0.1735	 80	 1	top1	0.06	2.7e-06	 0.1735	0.8623
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000008517.12_chr16.wgt.RDat	IL32	16	3065296	3081907	0.1506	rs2285675	-2.16	rs4786383	 0.063088	-4.84	 1.9562	 60	 1	top1	0.063	1.5e-06	-1.9562	0.0504
