PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000182472.3_chr19.wgt.RDat	CAPN12	19	38733702	38769904	0.1146	rs576261	-1.96	rs12976749	 0.013527	 -4.63	-0.02820	 43	 1	top1	0.014	0.018	 0.02820	0.9775
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000167747.8_chr19.wgt.RDat	C19orf48	19	50797703	50804929	0.1860	rs1275221	-2.92	rs2247289	 0.066438	  5.69	 0.63333	132	18	enet	0.097	2.4e-09	 0.63930	0.5226
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000173809.11_chr19.wgt.RDat	TDRD12	19	32719752	32829577	0.0801	rs736452	 2.16	rs7257486	 0.005978	  3.88	 1.53122	 48	 2	enet	0.0092	0.042	 0.34932	0.7268
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000196365.5_chr19.wgt.RDat	LONP1	19	5693297	5720572	0.0952	rs7247783	-2.49	rs11085147	 0.007753	 -3.70	 0.85370	 90	 1	top1	0.0078	0.057	-0.85370	0.3933
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000167671.6_chr19.wgt.RDat	UBXN6	19	4446048	4457822	0.1413	rs4807650	-2.23	rs243352	 0.054392	  4.53	-0.63762	 88	13	enet	0.079	8.3e-08	-0.08633	0.9312
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000096996.9_chr19.wgt.RDat	IL12RB1	19	18058994	18098944	0.1278	rs265552	 1.96	rs372889	 0.071907	  5.10	 1.84975	 82	19	enet	0.075	1.7e-07	 0.71753	0.4730
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000159915.6_chr19.wgt.RDat	ZNF233	19	44250164	44268213	0.0712	rs1233474	-2.80	rs2722697	-0.000739	  5.30	-0.21250	 65	 1	top1	-0.00074	0.39	-0.21250	0.8317
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000104894.6_chr19.wgt.RDat	CD37	19	49335170	49338936	0.0903	rs11083956	-2.75	rs11669675	 0.036943	  3.78	 0.45057	 60	 1	top1	0.037	0.00021	 0.45057	0.6523
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000169169.9_chr19.wgt.RDat	CPT1C	19	49690897	49713731	0.3089	rs10404214	-1.80	rs892149	 0.290115	  9.98	-0.80646	 44	 1	top1	0.29	2.9e-27	-0.80646	0.4200
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000089639.5_chr19.wgt.RDat	GMIP	19	19629475	19643667	0.0964	rs17215305	 2.79	rs16994684	 0.000169	  3.14	 0.88137	 39	11	enet	0.0068	0.069	 1.35379	0.1758
