PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000182472.3_chr19.wgt.RDat	CAPN12	19	38733702	38769904	0.0987	rs11083473	 3.343	rs12976749	 0.04764	-4.30	-0.3998	 44	 1	top1	0.048	2.8e-05	 0.3998	0.6893
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000167747.8_chr19.wgt.RDat	C19orf48	19	50797703	50804929	0.2069	NA	    NA	NA	      NA	   NA	     NA	127	 0	enet	0.098	2e-09	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000242779.1_chr19.wgt.RDat	ZNF702P	19	52974041	53037898	0.1497	NA	    NA	NA	      NA	   NA	     NA	111	 0	top1	0.061	2.4e-06	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000126246.4_chr19.wgt.RDat	IGFLR1	19	35741482	35741591	0.1750	rs4805127	-2.482	rs2291067	 0.11436	-6.43	-1.5678	 77	 1	top1	0.11	8.1e-11	 1.5678	0.1169
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000167671.6_chr19.wgt.RDat	UBXN6	19	4446048	4457822	0.1377	NA	    NA	NA	      NA	   NA	     NA	 90	 0	enet	0.039	0.00014	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000096996.9_chr19.wgt.RDat	IL12RB1	19	18058994	18098944	0.1057	NA	    NA	NA	      NA	   NA	     NA	 87	 0	top1	0.072	2.8e-07	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000159915.6_chr19.wgt.RDat	ZNF233	19	44250164	44268213	0.0885	rs1236711	-2.156	rs1434577	 0.03415	 5.30	 0.9291	 63	 1	top1	0.034	0.00035	 0.9291	0.3528
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000169169.9_chr19.wgt.RDat	CPT1C	19	49690897	49713731	0.3174	NA	    NA	NA	      NA	   NA	     NA	 44	 0	top1	0.29	2.4e-27	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000089639.5_chr19.wgt.RDat	GMIP	19	19629475	19643667	0.1039	rs10401713	 2.463	rs16994684	 0.00719	 3.20	 1.0481	 35	16	enet	0.017	0.0083	 0.9792	0.3275
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000176531.5_chr19.wgt.RDat	PHLDB3	19	43475102	43504935	0.2008	NA	    NA	NA	      NA	   NA	     NA	 56	 0	enet	0.11	9.1e-11	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000011422.6_chr19.wgt.RDat	PLAUR	19	43646094	43670547	0.0913	NA	    NA	NA	      NA	   NA	     NA	 59	 0	enet	0.013	0.019	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000090372.7_chr19.wgt.RDat	STRN4	19	46719506	46745830	0.0836	NA	    NA	NA	      NA	   NA	     NA	 61	 0	lasso	0.0033	0.14	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000198521.5_chr19.wgt.RDat	ZNF43	19	21804949	21852125	0.0658	rs8103138	 2.658	rs8103138	-0.00140	-3.13	 2.6584	 23	 6	lasso	0.0013	0.23	-1.9644	0.0495
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000197937.5_chr19.wgt.RDat	ZNF347	19	53124071	53159060	0.1051	NA	    NA	NA	      NA	   NA	     NA	126	 0	top1	0.06	2.5e-06	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000130544.6_chr19.wgt.RDat	ZNF557	19	7069443	7082052	0.1174	NA	    NA	NA	      NA	   NA	     NA	 98	 0	enet	0.015	0.012	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000188000.2_chr19.wgt.RDat	OR7D2	19	9185602	9188817	0.3776	NA	    NA	NA	      NA	   NA	     NA	 50	 0	enet	0.33	1.1e-31	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000188505.3_chr19.wgt.RDat	NCCRP1	19	39196960	39201884	0.0771	rs1629174	 2.769	rs11882959	-0.00205	-3.54	 1.2993	 48	 3	lasso	0.00081	0.26	-1.5855	0.1129
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000181035.8_chr19.wgt.RDat	SLC25A42	19	19063998	19112888	0.0767	NA	    NA	NA	      NA	   NA	     NA	 40	 0	top1	0.029	0.00095	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000105771.8_chr19.wgt.RDat	SMG9	19	43731148	43754990	0.1444	rs1236711	-2.156	rs2107621	 0.02818	 4.04	 1.4618	 59	17	enet	0.074	2.1e-07	-0.4356	0.6631
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000160392.8_chr19.wgt.RDat	C19orf47	19	40319535	40348386	0.0848	NA	    NA	NA	      NA	   NA	     NA	 45	 0	top1	0.044	5.2e-05	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000197766.1_chr19.wgt.RDat	CFD	19	859452	863453	0.2197	NA	    NA	NA	      NA	   NA	     NA	141	 0	top1	0.17	5.3e-16	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000196605.2_chr19.wgt.RDat	ZNF846	19	9751992	9793180	0.1245	NA	    NA	NA	      NA	   NA	     NA	 50	 0	top1	0.045	4.4e-05	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000160113.3_chr19.wgt.RDat	NR2F6	19	17231882	17245940	0.2856	NA	    NA	NA	      NA	   NA	     NA	 86	 0	enet	0.14	5.3e-13	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000176222.6_chr19.wgt.RDat	ZNF404	19	43872362	43884051	0.1517	rs1236711	-2.156	rs8100011	-0.00198	-3.54	-1.8811	 52	12	enet	0.032	0.00053	 0.3049	0.7604
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000216490.1_chr19.wgt.RDat	IFI30	19	18173161	18173219	0.1096	NA	    NA	NA	      NA	   NA	     NA	 77	 0	top1	0.0044	0.11	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000141965.3_chr19.wgt.RDat	FEM1A	19	4791715	4795559	0.1760	NA	    NA	NA	      NA	   NA	     NA	 87	 0	enet	0.082	4.4e-08	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000105656.4_chr19.wgt.RDat	ELL	19	18442662	18522127	0.2029	rs999454	 2.891	rs4808814	 0.09078	 5.99	 1.1686	 57	21	enet	0.094	4e-09	 1.3478	0.1777
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000248099.2_chr19.wgt.RDat	INSL3	19	17816511	17821574	0.2399	NA	    NA	NA	      NA	   NA	     NA	 94	 0	lasso	0.14	4.1e-13	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000079999.8_chr19.wgt.RDat	KEAP1	19	10486119	10503741	0.0773	rs10409243	-2.228	rs34516961	 0.01542	 3.64	 0.4411	 57	 1	top1	0.015	0.012	 0.4411	0.6591
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000172270.12_chr19.wgt.RDat	BSG	19	571296	583493	0.2133	NA	    NA	NA	      NA	   NA	     NA	117	 0	top1	0.22	2e-20	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000099338.14_chr19.wgt.RDat	CATSPERG	19	38335774	38370949	0.0779	rs11083473	 3.343	rs8113319	-0.00106	 2.69	-0.4413	 45	18	enet	0.023	0.003	 1.0179	0.3087
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000127903.10_chr19.wgt.RDat	ZNF835	19	56662651	56671783	0.1014	NA	    NA	NA	      NA	   NA	     NA	103	 0	top1	0.065	9.9e-07	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000076944.7_chr19.wgt.RDat	STXBP2	19	7636880	7647873	0.1418	rs17254521	 2.698	rs2446180	 0.08152	-5.47	-1.0098	 80	 1	top1	0.082	4.6e-08	 1.0098	0.3126
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000083807.4_chr19.wgt.RDat	SLC27A5	19	58483531	58512065	0.2098	NA	    NA	NA	      NA	   NA	     NA	 31	 0	top1	0.19	3.4e-17	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000167815.7_chr19.wgt.RDat	PRDX2	19	12796819	12801880	0.1201	rs11667602	-2.144	rs4804208	 0.03613	-4.33	 0.6484	 55	21	enet	0.075	1.7e-07	-0.0433	0.9655
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000241015.2_chr19.wgt.RDat	TPM3P9	19	53441795	53444670	0.1032	NA	    NA	NA	      NA	   NA	     NA	129	 0	top1	0.056	5.9e-06	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000126467.5_chr19.wgt.RDat	TSKS	19	49739754	49763330	0.1138	NA	    NA	NA	      NA	   NA	     NA	 51	 0	lasso	0.03	0.00081	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000198453.7_chr19.wgt.RDat	ZNF568	19	36916328	36997932	0.0781	NA	    NA	NA	      NA	   NA	     NA	 18	 0	lasso	0.0033	0.15	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000188321.7_chr19.wgt.RDat	ZNF559	19	9350803	9351162	0.1442	NA	    NA	NA	      NA	   NA	     NA	 47	 0	lasso	0.095	3.7e-09	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000105287.7_chr19.wgt.RDat	PRKD2	19	46674274	46717127	0.1025	rs10403174	-2.538	rs10413222	 0.06901	 5.32	-0.9063	 64	 1	top1	0.069	5e-07	-0.9063	0.3648
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000167766.11_chr19.wgt.RDat	ZNF83	19	52594059	52690496	0.3348	NA	    NA	NA	      NA	   NA	     NA	 98	 0	enet	0.29	8.9e-28	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000124466.6_chr19.wgt.RDat	LYPD3	19	43460786	43465660	0.0892	rs8100011	-1.881	rs12427	 0.01011	 3.96	-1.4895	 55	 1	enet	0.015	0.014	-1.4895	0.1364
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000105404.5_chr19.wgt.RDat	RABAC1	19	41956680	41959390	0.1306	NA	    NA	NA	      NA	   NA	     NA	 30	 0	lasso	0.096	3.1e-09	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000008382.10_chr19.wgt.RDat	MPND	19	4343526	4360086	0.1450	NA	    NA	NA	      NA	   NA	     NA	 86	 0	top1	0.09	9.8e-09	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000189190.6_chr19.wgt.RDat	ZNF600	19	52764194	52786791	0.2613	NA	    NA	NA	      NA	   NA	     NA	 94	 0	top1	0.16	3.7e-15	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000160117.8_chr19.wgt.RDat	ANKLE1	19	17281644	17287646	0.1342	NA	    NA	NA	      NA	   NA	     NA	 87	 0	enet	0.059	3.5e-06	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000011478.6_chr19.wgt.RDat	QPCTL	19	45693412	45703989	0.1090	NA	    NA	NA	      NA	   NA	     NA	 67	 0	top1	0.1	8.4e-10	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000186020.7_chr19.wgt.RDat	ZNF529	19	36534773	36589701	0.0854	rs4806281	-1.959	rs2912420	 0.06728	-4.97	-0.1591	 23	 2	lasso	0.074	2.1e-07	 0.3980	0.6906
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000197128.5_chr19.wgt.RDat	ZNF772	19	57466662	57475146	0.0907	rs34640515	 2.299	rs2051765	 0.01022	-3.89	 0.6958	 50	 2	lasso	0.016	0.01	-0.7925	0.4281
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000104808.3_chr19.wgt.RDat	DHDH	19	48933681	48944969	0.1143	NA	    NA	NA	      NA	   NA	     NA	 66	 0	lasso	0.044	5e-05	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000022556.10_chr19.wgt.RDat	NLRP2	19	54953129	55001142	0.1132	NA	    NA	NA	      NA	   NA	     NA	105	 0	lasso	0.065	9.8e-07	     NA	    NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000121289.11_chr19.wgt.RDat	CEP89	19	32878995	32971991	0.2104	rs7245958	 2.581	rs16967511	 0.01055	 4.58	 0.6278	 68	10	enet	0.17	7.4e-16	-0.0618	0.9507
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000126266.2_chr19.wgt.RDat	FFAR1	19	35351541	35352464	0.1896	NA	    NA	NA	      NA	   NA	     NA	 89	 0	top1	0.15	1.2e-13	     NA	    NA
