PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000137501.11_chr11.wgt.RDat	SYTL2	11	85694223	85811141	0.0703	rs11234569	 1.51	rs17743946	 0.023046	 4.06	 1.05282	 31	 6	enet	0.028	0.0012	 0.49573	0.620083
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000149591.11_chr11.wgt.RDat	TAGLN	11	117199320	117203884	0.1358	rs520289	 3.40	rs10892074	 0.010236	 3.91	 0.16636	 59	 3	lasso	0.024	0.0026	 0.03914	0.968777
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000246174.2_chr11.wgt.RDat	KCTD21-AS1	11	78139770	78175323	0.3582	rs2450132	-1.81	rs9651740	 0.220973	 8.85	-0.57118	 24	18	enet	0.28	2.8e-26	-1.33398	0.182211
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000156599.6_chr11.wgt.RDat	ZDHHC5	11	57667746	57701187	0.0968	rs2729356	-3.11	rs1783978	 0.048026	-4.35	-0.00030	 30	 8	enet	0.062	1.8e-06	 0.77319	0.439410
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000148926.5_chr11.wgt.RDat	ADM	11	10304679	10307397	0.0955	NA	   NA	NA	       NA	   NA	      NA	 66	 0	enet	0.0021	0.19	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000166002.2_chr11.wgt.RDat	SMCO4	11	93478471	93543508	0.1421	rs1003072	-1.64	rs1598546	 0.036510	 4.53	 0.39974	 39	16	enet	0.064	1.3e-06	-0.26873	0.788137
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000110375.2_chr11.wgt.RDat	UPK2	11	118951203	118958559	0.1161	rs2510143	-2.36	rs10790254	-0.002841	 3.36	 1.03207	 44	19	enet	0.012	0.026	 1.42481	0.154213
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000135362.9_chr11.wgt.RDat	PRR5L	11	36296287	36465204	0.0862	rs7107720	-2.33	rs870716	 0.000320	-3.27	 0.30645	 76	23	enet	0.011	0.029	-0.95981	0.337150
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000137714.2_chr11.wgt.RDat	FDX1	11	110429882	110464881	0.0670	rs1792796	 2.24	rs7930181	 0.053891	 4.63	-0.36949	 38	 1	top1	0.054	8.6e-06	-0.36949	0.711766
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000152219.4_chr11.wgt.RDat	ARL14EP	11	30323050	30338227	0.0998	rs16920207	-3.29	rs16925531	 0.026075	-4.40	-0.94784	 34	 6	enet	0.088	1.4e-08	 1.21704	0.223589
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000179057.9_chr11.wgt.RDat	IGSF22	11	18705417	18726230	0.1569	rs10833053	 2.67	rs10832973	 0.140253	-7.05	-0.22380	 69	 1	top1	0.14	4.8e-13	 0.22380	0.822914
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000110108.3_chr11.wgt.RDat	TMEM109	11	60913873	60923443	0.0802	NA	   NA	NA	       NA	   NA	      NA	 54	 0	top1	0.026	0.0016	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000121691.4_chr11.wgt.RDat	CAT	11	34438924	34472062	0.1077	rs968251	-2.32	rs5026710	 0.030867	-5.11	-0.54872	 75	 3	enet	0.059	3.5e-06	 0.03726	0.970277
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000110665.7_chr11.wgt.RDat	C11orf21	11	2295644	2300613	0.2445	NA	   NA	NA	       NA	   NA	      NA	101	 0	lasso	0.23	1.5e-21	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000246067.2_chr11.wgt.RDat	RAB30-AS1	11	83072065	83106719	0.3515	rs1629952	 1.79	rs7125035	 0.192515	-8.24	 0.05379	 41	 4	lasso	0.31	1.5e-29	 0.08538	0.931957
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000158555.10_chr11.wgt.RDat	GDPD5	11	75434639	75525903	0.1405	rs3819192	 2.67	rs12788428	 0.090755	-5.70	 1.14127	 47	21	enet	0.097	2.5e-09	-1.13957	0.254463
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000177951.12_chr11.wgt.RDat	BET1L	11	167783	207428	0.0654	rs7944917	 2.64	rs7944917	-0.000810	 2.83	 2.63853	 47	 1	top1	-0.00081	0.4	 2.63853	0.008327
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000133805.10_chr11.wgt.RDat	AMPD3	11	10308312	10507579	0.1233	NA	   NA	NA	       NA	   NA	      NA	 66	 0	enet	0.021	0.0046	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000172803.12_chr11.wgt.RDat	SNX32	11	65833640	65853701	0.1778	rs575085	-2.08	rs11820062	 0.027381	-4.70	 0.93279	 26	14	enet	0.087	1.5e-08	-1.01661	0.309337
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000188124.2_chr11.wgt.RDat	OR2AG2	11	6767986	6769055	0.1260	NA	   NA	NA	       NA	   NA	      NA	 85	 0	lasso	0.087	1.8e-08	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000110344.5_chr11.wgt.RDat	UBE4A	11	118359584	118392895	0.0874	NA	   NA	NA	       NA	   NA	      NA	 52	 0	enet	0.031	0.00058	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000245532.2_chr11.wgt.RDat	NEAT1	11	65422773	65445540	0.0713	rs575085	-2.08	rs4099470	 0.009661	 4.63	-0.74467	 30	 1	top1	0.0097	0.038	-0.74467	0.456470
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000132740.4_chr11.wgt.RDat	IGHMBP2	11	68903841	68940599	0.1187	NA	   NA	NA	       NA	   NA	      NA	 39	 0	enet	0.068	5.6e-07	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000021300.7_chr11.wgt.RDat	PLEKHB1	11	73646177	73662819	0.0767	NA	   NA	NA	       NA	   NA	      NA	 53	 0	lasso	0.019	0.0066	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000075239.9_chr11.wgt.RDat	ACAT1	11	108121515	108147776	0.1383	NA	   NA	NA	       NA	   NA	      NA	 46	 0	enet	0.035	0.00029	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000214872.4_chr11.wgt.RDat	SMTNL1	11	57541505	57550635	0.1838	rs2729356	-3.11	rs2729356	 0.061138	-5.70	-3.10730	 30	10	enet	0.13	4.1e-12	 3.43483	0.000593
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000134627.7_chr11.wgt.RDat	PIWIL4	11	94567307	94621421	0.0991	NA	   NA	NA	       NA	   NA	      NA	 42	 0	enet	0.032	0.00051	      NA	      NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000166796.7_chr11.wgt.RDat	LDHC	11	18412306	18452058	0.5911	rs4341512	 2.42	rs16935538	 0.293688	10.10	-1.10123	 60	38	enet	0.48	1.5e-50	 0.26459	0.791326
