PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000132185.12_chr1.wgt.RDat	FCRLA	1	161706971	161714352	0.2056	rs4657136	 3.23	rs11746	 0.092436	 -5.74	 0.4357	56	19	enet	0.14	9.1e-13	-0.9901	0.32211
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000134255.9_chr1.wgt.RDat	CEPT1	1	111140225	111185102	0.1330	rs11586529	-2.94	rs17027145	 0.012087	 -3.73	-0.3792	70	 1	top1	0.012	0.024	 0.3792	0.70456
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000171502.10_chr1.wgt.RDat	COL24A1	1	85729232	86156943	0.1002	NA	   NA	NA	       NA	    NA	     NA	34	 0	enet	0.06	2.6e-06	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000049239.7_chr1.wgt.RDat	H6PD	1	9234774	9271337	0.2511	rs17383360	-2.96	rs2268175	 0.198090	 -8.32	 0.9182	86	 1	top1	0.2	3.3e-18	-0.9182	0.35849
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000189339.7_chr1.wgt.RDat	SLC35E2B	1	1661477	1692728	0.2185	NA	   NA	NA	       NA	    NA	     NA	36	 0	lasso	0.12	2e-11	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000215910.3_chr1.wgt.RDat	C1orf167	1	11761786	11785289	0.1846	rs235214	-2.03	rs1994798	 0.042095	  4.74	 0.9455	81	 4	lasso	0.07	4.6e-07	 1.1991	0.23049
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000143578.11_chr1.wgt.RDat	CREB3L4	1	153968236	153973716	0.1158	rs10494299	 1.95	rs1139620	 0.010512	  2.86	 0.4027	32	21	enet	0.056	5.8e-06	 0.5468	0.58455
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000116711.7_chr1.wgt.RDat	PLA2G4A	1	186828952	186988981	0.0553	rs979924	-1.84	rs10489401	 0.007298	 -3.76	 0.1072	44	 3	lasso	0.0094	0.04	-0.9331	0.35077
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000186205.8_chr1.wgt.RDat	MARC1	1	220786758	220814393	0.1781	rs10495160	 4.32	rs12028745	 0.012611	  4.57	 0.1181	50	29	enet	0.089	1.1e-08	-1.3308	0.18327
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000049247.8_chr1.wgt.RDat	UTS2	1	7846691	7853512	0.2356	rs4908736	 1.61	rs161803	 0.169375	  7.68	 0.3498	61	 1	top1	0.17	1.4e-15	 0.3498	0.72649
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000120332.10_chr1.wgt.RDat	TNN	1	175067857	175148066	0.0852	NA	   NA	NA	       NA	    NA	     NA	36	 0	enet	0.019	0.0066	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000240563.1_chr1.wgt.RDat	L1TD1	1	62194830	62212328	0.1567	NA	   NA	NA	       NA	    NA	     NA	67	 0	lasso	0.031	0.00065	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000163875.11_chr1.wgt.RDat	MEAF6	1	37492574	37514774	0.1146	rs6702349	-2.34	rs4653295	 0.109853	  6.46	-0.5702	58	 1	top1	0.11	2.1e-10	-0.5702	0.56856
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000121454.4_chr1.wgt.RDat	LHX4	1	180230285	180272006	0.1095	NA	   NA	NA	       NA	    NA	     NA	54	 0	enet	0.021	0.0043	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000183682.7_chr1.wgt.RDat	BMP8A	1	39491645	39525935	0.3184	rs6600293	-1.88	rs230279	 0.108767	 -6.88	 0.1784	54	13	enet	0.25	2.5e-23	 0.1978	0.84322
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000142856.12_chr1.wgt.RDat	ITGB3BP	1	63440769	63529186	0.1328	rs17124707	-2.30	rs7522426	 0.014443	  3.60	 0.0963	54	 4	lasso	0.027	0.0014	-0.5059	0.61294
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000064886.8_chr1.wgt.RDat	CHI3L2	1	111200770	111243440	0.3263	NA	   NA	NA	       NA	    NA	     NA	70	 0	top1	0.26	2.4e-24	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000143387.8_chr1.wgt.RDat	CTSK	1	150796207	150808323	0.0873	rs10305751	 2.32	rs11204725	 0.088164	  5.62	 1.1391	32	 1	top1	0.088	1.4e-08	 1.1391	0.25466
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000117226.7_chr1.wgt.RDat	GBP3	1	89006665	89022894	0.3322	rs10922610	-1.66	rs7547610	 0.076235	  6.16	-0.1763	30	26	enet	0.15	3.9e-14	-0.5728	0.56677
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000162631.12_chr1.wgt.RDat	NTNG1	1	107140006	107483458	0.1094	rs6704278	 2.59	rs7513793	 0.056720	  4.57	 0.5236	65	 4	lasso	0.058	3.8e-06	 0.4265	0.66975
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000122481.12_chr1.wgt.RDat	RWDD3	1	95234154	95246657	0.1740	rs17112700	 1.68	rs7528790	 0.141168	  7.01	-0.8324	50	 1	top1	0.14	4.3e-13	-0.8324	0.40518
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000122223.8_chr1.wgt.RDat	CD244	1	160830159	160862902	0.1377	rs497490	 2.09	rs6682654	 0.149176	  7.30	 0.5003	66	 1	top1	0.15	8.5e-14	 0.5003	0.61685
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000143155.8_chr1.wgt.RDat	TIPRL	1	168178932	168200712	0.2230	NA	   NA	NA	       NA	    NA	     NA	68	 0	enet	0.14	1.1e-12	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000159166.9_chr1.wgt.RDat	LAD1	1	201380837	201399608	0.0831	rs3753967	 2.60	rs1256948	 0.015164	 -4.32	-1.5784	96	13	enet	0.024	0.0022	 1.4616	0.14385
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000171357.5_chr1.wgt.RDat	LURAP1	1	46203333	46203624	0.1022	rs1150066	 2.31	rs3863641	 0.059690	 -4.68	 1.2596	29	 1	top1	0.06	3e-06	-1.2596	0.20781
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000197568.9_chr1.wgt.RDat	HHLA3	1	70354804	70385339	0.0656	rs2421787	 2.53	rs648743	 0.060492	 -4.73	 0.3994	42	 1	top1	0.06	2.6e-06	-0.3994	0.68957
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000198771.6_chr1.wgt.RDat	RCSD1	1	167630092	167706249	0.1312	rs12131752	 2.56	rs2902347	 0.000524	  3.09	-1.3475	95	 1	top1	0.00052	0.28	-1.3475	0.17783
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000143194.7_chr1.wgt.RDat	MAEL	1	166989108	167022214	0.0819	rs2281960	-2.32	rs926266	 0.076414	  5.01	 0.0895	66	 1	top1	0.076	1.3e-07	 0.0895	0.92872
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000143653.8_chr1.wgt.RDat	SCCPDH	1	246724046	246768137	0.0719	rs3120693	 2.40	rs6699332	 0.002827	 -3.54	-0.8744	35	 1	top1	0.0028	0.16	 0.8744	0.38190
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000135778.6_chr1.wgt.RDat	NTPCR	1	232950604	232977528	0.5142	rs7539735	 2.46	rs12410594	 0.445739	-12.37	-0.9155	76	 4	lasso	0.45	1.1e-45	 0.8204	0.41201
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000116981.3_chr1.wgt.RDat	NT5C1A	1	39659120	39672038	0.1224	NA	   NA	NA	       NA	    NA	     NA	48	 0	top1	0.12	2.6e-11	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000117174.6_chr1.wgt.RDat	ZNHIT6	1	85649422	85708433	0.1430	rs17404261	-2.25	rs1539444	 0.140688	 -7.04	 0.2986	63	 1	top1	0.14	4.7e-13	-0.2986	0.76522
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000121310.11_chr1.wgt.RDat	ECHDC2	1	52895983	52927212	0.0680	NA	   NA	NA	       NA	    NA	     NA	45	 0	top1	0.076	1.4e-07	     NA	     NA
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000184292.5_chr1.wgt.RDat	TACSTD2	1	58575426	58577494	0.1111	rs3949912	 2.24	rs706450	-0.000839	  3.35	 1.9579	62	16	enet	0.0092	0.042	 0.5787	0.56276
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000053371.8_chr1.wgt.RDat	AKR7A2	1	19303964	19312146	0.1443	rs1770481	 1.79	rs214314	 0.051082	 -4.40	-0.2673	55	 1	top1	0.051	1.5e-05	 0.2673	0.78926
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000125703.8_chr1.wgt.RDat	ATG4C	1	62784134	62865513	0.0995	rs11208174	 3.23	rs11208013	 0.097115	 -5.98	-0.1168	77	 1	top1	0.097	2.4e-09	 0.1168	0.90704
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000117593.8_chr1.wgt.RDat	DARS2	1	173826686	173858546	0.0790	rs6681390	-1.64	rs2096148	-0.002948	 -3.11	-0.5942	28	15	enet	0.0019	0.2	 0.7816	0.43446
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000168653.6_chr1.wgt.RDat	NDUFS5	1	39026317	39034636	0.1523	rs4508001	-2.45	rs4660652	 0.108954	 -6.20	-0.6689	59	 1	top1	0.11	2.5e-10	 0.6689	0.50356
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000171793.8_chr1.wgt.RDat	CTPS1	1	40979334	41012563	0.1268	rs12564627	-2.12	rs3754173	 0.021298	  3.87	-0.4814	62	17	enet	0.069	5.7e-07	 0.5190	0.60375
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000142910.9_chr1.wgt.RDat	TINAGL1	1	31576514	31587687	0.1165	rs11584199	 2.42	rs16834652	 0.001895	  3.46	-1.5461	37	 5	lasso	0.028	0.0011	-1.2756	0.20209
NA	/Users/yiting/Desktop/cap3/out/compute_weights_out2/ENSG00000163131.5_chr1.wgt.RDat	CTSS	1	150730195	150765957	0.1054	rs10305751	 2.34	rs3754211	 0.069357	  4.95	 1.2670	37	 1	top1	0.069	4.8e-07	 1.2670	0.20514
